Edad Simple;Provincias;Sexo;Periodo;Total
0 años;02 Albacete;Hombres;1 de julio de 2021;1.380,000000
0 años;02 Albacete;Mujeres;1 de julio de 2021;1.303,500000
0 años;03 Alicante/Alacant;Hombres;1 de julio de 2021;6.584,500000
0 años;03 Alicante/Alacant;Mujeres;1 de julio de 2021;6.285,500000
0 años;04 Almería;Hombres;1 de julio de 2021;3.426,000000
0 años;04 Almería;Mujeres;1 de julio de 2021;3.264,500000
0 años;01 Araba/Álava;Hombres;1 de julio de 2021;1.219,500000
0 años;01 Araba/Álava;Mujeres;1 de julio de 2021;1.108,000000
0 años;33 Asturias;Hombres;1 de julio de 2021;2.405,500000
0 años;33 Asturias;Mujeres;1 de julio de 2021;2.253,500000
0 años;05 Ávila;Hombres;1 de julio de 2021;458,000000
0 años;05 Ávila;Mujeres;1 de julio de 2021;439,000000
0 años;06 Badajoz;Hombres;1 de julio de 2021;2.453,500000
0 años;06 Badajoz;Mujeres;1 de julio de 2021;2.330,500000
0 años;07 Balears, Illes;Hombres;1 de julio de 2021;4.822,000000
0 años;07 Balears, Illes;Mujeres;1 de julio de 2021;4.426,000000
0 años;08 Barcelona;Hombres;1 de julio de 2021;21.124,500000
0 años;08 Barcelona;Mujeres;1 de julio de 2021;20.215,000000
0 años;48 Bizkaia;Hombres;1 de julio de 2021;3.702,000000
0 años;48 Bizkaia;Mujeres;1 de julio de 2021;3.351,500000
0 años;09 Burgos;Hombres;1 de julio de 2021;1.096,500000
0 años;09 Burgos;Mujeres;1 de julio de 2021;998,500000
0 años;10 Cáceres;Hombres;1 de julio de 2021;1.198,000000
0 años;10 Cáceres;Mujeres;1 de julio de 2021;1.160,500000
0 años;11 Cádiz;Hombres;1 de julio de 2021;4.490,000000
0 años;11 Cádiz;Mujeres;1 de julio de 2021;4.228,000000
0 años;39 Cantabria;Hombres;1 de julio de 2021;1.672,000000
0 años;39 Cantabria;Mujeres;1 de julio de 2021;1.591,500000
0 años;12 Castellón/Castelló;Hombres;1 de julio de 2021;2.082,000000
0 años;12 Castellón/Castelló;Mujeres;1 de julio de 2021;1.953,000000
0 años;13 Ciudad Real;Hombres;1 de julio de 2021;1.702,000000
0 años;13 Ciudad Real;Mujeres;1 de julio de 2021;1.618,500000
0 años;14 Córdoba;Hombres;1 de julio de 2021;2.858,500000
0 años;14 Córdoba;Mujeres;1 de julio de 2021;2.753,500000
0 años;15 Coruña, A;Hombres;1 de julio de 2021;3.201,000000
0 años;15 Coruña, A;Mujeres;1 de julio de 2021;3.078,000000
0 años;16 Cuenca;Hombres;1 de julio de 2021;624,500000
0 años;16 Cuenca;Mujeres;1 de julio de 2021;613,000000
0 años;20 Gipuzkoa;Hombres;1 de julio de 2021;2.494,000000
0 años;20 Gipuzkoa;Mujeres;1 de julio de 2021;2.394,500000
0 años;17 Girona;Hombres;1 de julio de 2021;3.050,500000
0 años;17 Girona;Mujeres;1 de julio de 2021;2.986,500000
0 años;18 Granada;Hombres;1 de julio de 2021;3.462,500000
0 años;18 Granada;Mujeres;1 de julio de 2021;3.498,500000
0 años;19 Guadalajara;Hombres;1 de julio de 2021;973,000000
0 años;19 Guadalajara;Mujeres;1 de julio de 2021;909,000000
0 años;21 Huelva;Hombres;1 de julio de 2021;2.192,000000
0 años;21 Huelva;Mujeres;1 de julio de 2021;1.964,000000
0 años;22 Huesca;Hombres;1 de julio de 2021;798,000000
0 años;22 Huesca;Mujeres;1 de julio de 2021;747,500000
0 años;23 Jaén;Hombres;1 de julio de 2021;2.275,000000
0 años;23 Jaén;Mujeres;1 de julio de 2021;2.115,500000
0 años;24 León;Hombres;1 de julio de 2021;1.184,500000
0 años;24 León;Mujeres;1 de julio de 2021;1.108,000000
0 años;25 Lleida;Hombres;1 de julio de 2021;1.636,500000
0 años;25 Lleida;Mujeres;1 de julio de 2021;1.574,000000
0 años;27 Lugo;Hombres;1 de julio de 2021;787,000000
0 años;27 Lugo;Mujeres;1 de julio de 2021;799,500000
0 años;28 Madrid;Hombres;1 de julio de 2021;26.101,000000
0 años;28 Madrid;Mujeres;1 de julio de 2021;24.369,000000
0 años;29 Málaga;Hombres;1 de julio de 2021;6.363,000000
0 años;29 Málaga;Mujeres;1 de julio de 2021;6.016,000000
0 años;30 Murcia;Hombres;1 de julio de 2021;6.912,000000
0 años;30 Murcia;Mujeres;1 de julio de 2021;6.438,000000
0 años;31 Navarra;Hombres;1 de julio de 2021;2.534,500000
0 años;31 Navarra;Mujeres;1 de julio de 2021;2.403,000000
0 años;32 Ourense;Hombres;1 de julio de 2021;749,500000
0 años;32 Ourense;Mujeres;1 de julio de 2021;681,000000
0 años;34 Palencia;Hombres;1 de julio de 2021;441,500000
0 años;34 Palencia;Mujeres;1 de julio de 2021;415,500000
0 años;35 Palmas, Las;Hombres;1 de julio de 2021;3.458,500000
0 años;35 Palmas, Las;Mujeres;1 de julio de 2021;3.250,000000
0 años;36 Pontevedra;Hombres;1 de julio de 2021;2.759,000000
0 años;36 Pontevedra;Mujeres;1 de julio de 2021;2.696,000000
0 años;26 Rioja, La;Hombres;1 de julio de 2021;1.127,500000
0 años;26 Rioja, La;Mujeres;1 de julio de 2021;1.115,000000
0 años;37 Salamanca;Hombres;1 de julio de 2021;896,500000
0 años;37 Salamanca;Mujeres;1 de julio de 2021;837,500000
0 años;38 Santa Cruz de Tenerife;Hombres;1 de julio de 2021;3.039,000000
0 años;38 Santa Cruz de Tenerife;Mujeres;1 de julio de 2021;2.834,500000
0 años;40 Segovia;Hombres;1 de julio de 2021;467,500000
0 años;40 Segovia;Mujeres;1 de julio de 2021;486,000000
0 años;41 Sevilla;Hombres;1 de julio de 2021;7.976,000000
0 años;41 Sevilla;Mujeres;1 de julio de 2021;7.369,500000
0 años;42 Soria;Hombres;1 de julio de 2021;281,000000
0 años;42 Soria;Mujeres;1 de julio de 2021;268,000000
0 años;43 Tarragona;Hombres;1 de julio de 2021;3.059,500000
0 años;43 Tarragona;Mujeres;1 de julio de 2021;2.948,000000
0 años;44 Teruel;Hombres;1 de julio de 2021;431,000000
0 años;44 Teruel;Mujeres;1 de julio de 2021;454,500000
0 años;45 Toledo;Hombres;1 de julio de 2021;2.651,500000
0 años;45 Toledo;Mujeres;1 de julio de 2021;2.528,500000
0 años;46 Valencia/València;Hombres;1 de julio de 2021;9.232,000000
0 años;46 Valencia/València;Mujeres;1 de julio de 2021;8.477,000000
0 años;47 Valladolid;Hombres;1 de julio de 2021;1.566,000000
0 años;47 Valladolid;Mujeres;1 de julio de 2021;1.486,000000
0 años;49 Zamora;Hombres;1 de julio de 2021;386,500000
0 años;49 Zamora;Mujeres;1 de julio de 2021;344,000000
0 años;50 Zaragoza;Hombres;1 de julio de 2021;3.434,000000
0 años;50 Zaragoza;Mujeres;1 de julio de 2021;3.258,000000
0 años;51 Ceuta;Hombres;1 de julio de 2021;382,500000
0 años;51 Ceuta;Mujeres;1 de julio de 2021;348,500000
0 años;52 Melilla;Hombres;1 de julio de 2021;468,500000
0 años;52 Melilla;Mujeres;1 de julio de 2021;454,500000
1 año;02 Albacete;Hombres;1 de julio de 2021;1.448,500000
1 año;02 Albacete;Mujeres;1 de julio de 2021;1.379,500000
1 año;03 Alicante/Alacant;Hombres;1 de julio de 2021;7.239,000000
1 año;03 Alicante/Alacant;Mujeres;1 de julio de 2021;6.776,000000
1 año;04 Almería;Hombres;1 de julio de 2021;3.685,500000
1 año;04 Almería;Mujeres;1 de julio de 2021;3.474,000000
1 año;01 Araba/Álava;Hombres;1 de julio de 2021;1.281,500000
1 año;01 Araba/Álava;Mujeres;1 de julio de 2021;1.218,000000
1 año;33 Asturias;Hombres;1 de julio de 2021;2.583,500000
1 año;33 Asturias;Mujeres;1 de julio de 2021;2.477,500000
1 año;05 Ávila;Hombres;1 de julio de 2021;474,000000
1 año;05 Ávila;Mujeres;1 de julio de 2021;480,000000
1 año;06 Badajoz;Hombres;1 de julio de 2021;2.603,500000
1 año;06 Badajoz;Mujeres;1 de julio de 2021;2.483,000000
1 año;07 Balears, Illes;Hombres;1 de julio de 2021;4.963,500000
1 año;07 Balears, Illes;Mujeres;1 de julio de 2021;4.708,000000
1 año;08 Barcelona;Hombres;1 de julio de 2021;22.482,500000
1 año;08 Barcelona;Mujeres;1 de julio de 2021;21.535,000000
1 año;48 Bizkaia;Hombres;1 de julio de 2021;3.943,000000
1 año;48 Bizkaia;Mujeres;1 de julio de 2021;3.649,000000
1 año;09 Burgos;Hombres;1 de julio de 2021;1.193,000000
1 año;09 Burgos;Mujeres;1 de julio de 2021;1.128,000000
1 año;10 Cáceres;Hombres;1 de julio de 2021;1.268,000000
1 año;10 Cáceres;Mujeres;1 de julio de 2021;1.215,000000
1 año;11 Cádiz;Hombres;1 de julio de 2021;4.901,500000
1 año;11 Cádiz;Mujeres;1 de julio de 2021;4.703,500000
1 año;39 Cantabria;Hombres;1 de julio de 2021;1.839,500000
1 año;39 Cantabria;Mujeres;1 de julio de 2021;1.708,000000
1 año;12 Castellón/Castelló;Hombres;1 de julio de 2021;2.292,500000
1 año;12 Castellón/Castelló;Mujeres;1 de julio de 2021;2.138,500000
1 año;13 Ciudad Real;Hombres;1 de julio de 2021;1.820,500000
1 año;13 Ciudad Real;Mujeres;1 de julio de 2021;1.702,000000
1 año;14 Córdoba;Hombres;1 de julio de 2021;2.985,500000
1 año;14 Córdoba;Mujeres;1 de julio de 2021;2.841,000000
1 año;15 Coruña, A;Hombres;1 de julio de 2021;3.388,000000
1 año;15 Coruña, A;Mujeres;1 de julio de 2021;3.236,500000
1 año;16 Cuenca;Hombres;1 de julio de 2021;669,500000
1 año;16 Cuenca;Mujeres;1 de julio de 2021;653,500000
1 año;20 Gipuzkoa;Hombres;1 de julio de 2021;2.608,500000
1 año;20 Gipuzkoa;Mujeres;1 de julio de 2021;2.503,500000
1 año;17 Girona;Hombres;1 de julio de 2021;3.322,500000
1 año;17 Girona;Mujeres;1 de julio de 2021;3.165,000000
1 año;18 Granada;Hombres;1 de julio de 2021;3.750,500000
1 año;18 Granada;Mujeres;1 de julio de 2021;3.709,500000
1 año;19 Guadalajara;Hombres;1 de julio de 2021;1.085,500000
1 año;19 Guadalajara;Mujeres;1 de julio de 2021;1.012,500000
