Edad Simple;Provincias;Sexo;Periodo;Total
0 años;02 Albacete;Hombres;1 de julio de 2022;1.415,500000
0 años;02 Albacete;Mujeres;1 de julio de 2022;1.288,500000
0 años;03 Alicante/Alacant;Hombres;1 de julio de 2022;6.723,000000
0 años;03 Alicante/Alacant;Mujeres;1 de julio de 2022;6.413,000000
0 años;04 Almería;Hombres;1 de julio de 2022;3.444,500000
0 años;04 Almería;Mujeres;1 de julio de 2022;3.254,500000
0 años;01 Araba/Álava;Hombres;1 de julio de 2022;1.215,500000
0 años;01 Araba/Álava;Mujeres;1 de julio de 2022;1.121,500000
0 años;33 Asturias;Hombres;1 de julio de 2022;2.486,500000
0 años;33 Asturias;Mujeres;1 de julio de 2022;2.319,000000
0 años;05 Ávila;Hombres;1 de julio de 2022;482,000000
0 años;05 Ávila;Mujeres;1 de julio de 2022;414,000000
0 años;06 Badajoz;Hombres;1 de julio de 2022;2.514,000000
0 años;06 Badajoz;Mujeres;1 de julio de 2022;2.198,000000
0 años;07 Balears, Illes;Hombres;1 de julio de 2022;4.649,500000
0 años;07 Balears, Illes;Mujeres;1 de julio de 2022;4.475,000000
0 años;08 Barcelona;Hombres;1 de julio de 2022;21.603,500000
0 años;08 Barcelona;Mujeres;1 de julio de 2022;20.034,000000
0 años;48 Bizkaia;Hombres;1 de julio de 2022;3.534,500000
0 años;48 Bizkaia;Mujeres;1 de julio de 2022;3.333,500000
0 años;09 Burgos;Hombres;1 de julio de 2022;1.052,000000
0 años;09 Burgos;Mujeres;1 de julio de 2022;1.037,500000
0 años;10 Cáceres;Hombres;1 de julio de 2022;1.161,000000
0 años;10 Cáceres;Mujeres;1 de julio de 2022;1.159,500000
0 años;11 Cádiz;Hombres;1 de julio de 2022;4.459,500000
0 años;11 Cádiz;Mujeres;1 de julio de 2022;4.123,500000
0 años;39 Cantabria;Hombres;1 de julio de 2022;1.641,000000
0 años;39 Cantabria;Mujeres;1 de julio de 2022;1.550,000000
0 años;12 Castellón/Castelló;Hombres;1 de julio de 2022;2.076,000000
0 años;12 Castellón/Castelló;Mujeres;1 de julio de 2022;2.013,500000
0 años;13 Ciudad Real;Hombres;1 de julio de 2022;1.755,000000
0 años;13 Ciudad Real;Mujeres;1 de julio de 2022;1.575,000000
0 años;14 Córdoba;Hombres;1 de julio de 2022;2.847,000000
0 años;14 Córdoba;Mujeres;1 de julio de 2022;2.763,000000
0 años;15 Coruña, A;Hombres;1 de julio de 2022;3.099,500000
0 años;15 Coruña, A;Mujeres;1 de julio de 2022;3.010,000000
0 años;16 Cuenca;Hombres;1 de julio de 2022;668,500000
0 años;16 Cuenca;Mujeres;1 de julio de 2022;608,000000
0 años;20 Gipuzkoa;Hombres;1 de julio de 2022;2.415,000000
0 años;20 Gipuzkoa;Mujeres;1 de julio de 2022;2.216,500000
0 años;17 Girona;Hombres;1 de julio de 2022;3.021,500000
0 años;17 Girona;Mujeres;1 de julio de 2022;2.914,500000
0 años;18 Granada;Hombres;1 de julio de 2022;3.590,000000
0 años;18 Granada;Mujeres;1 de julio de 2022;3.412,000000
0 años;19 Guadalajara;Hombres;1 de julio de 2022;933,000000
0 años;19 Guadalajara;Mujeres;1 de julio de 2022;913,000000
0 años;21 Huelva;Hombres;1 de julio de 2022;2.026,500000
0 años;21 Huelva;Mujeres;1 de julio de 2022;1.955,000000
0 años;22 Huesca;Hombres;1 de julio de 2022;787,500000
0 años;22 Huesca;Mujeres;1 de julio de 2022;737,500000
0 años;23 Jaén;Hombres;1 de julio de 2022;2.277,500000
0 años;23 Jaén;Mujeres;1 de julio de 2022;2.064,500000
0 años;24 León;Hombres;1 de julio de 2022;1.133,500000
0 años;24 León;Mujeres;1 de julio de 2022;1.070,000000
