"code","postal_code","name","phone_code","iso2"
"VI","01","Álava",945,"ES"
"AB","02","Albacete",967,"ES"
"A","03","Alacant",950,"ES"
"AL","04","Almería",920,"ES"
"AV","05","Ávila",924,"ES"
"BA","06","Badajoz",924,"ES"
"PM","07","Illes Balears",971,"ES"
"B","08","Barcelona",93,"ES"
"BU","09","Burgos",947,"ES"
"CC","10","Cáceres",927,"ES"
"CA","11","Cádiz",956,"ES"
"CS","12","Castelló",964,"ES"
"CR","13","Ciudad Real",926,"ES"
"CO","14","Córdoba",957,"ES"
"C","15","A Coruña",981,"ES"
"CU","16","Cuenca",969,"ES"
"GI","17","Girona",972,"ES"
"GR","18","Granada",958,"ES"
"GU","19","Guadalajara",949,"ES"
"SS","20","Gipuzkoa",943,"ES"
"H","21","Huelva",959,"ES"
"HU","22","Huesca",974,"ES"
"J","23","Jaén",953,"ES"
"LE","24","León",987,"ES"
"L","25","Lleida",973,"ES"
"LO","26","La Rioja",941,"ES"
"LU","27","Lugo",982,"ES"
"M","28","Madrid",91,"ES"
"MA","29","Málaga",95,"ES"
"MU","30","Murcia",968,"ES"
"NA","31","Nafarroa",948,"ES"
"OR","32","Ourense",988,"ES"
"O","33","Asturias",98,"ES"
"P","34","Palencia",979,"ES"
"GC","35","Las Palmas",928,"ES"
"PO","36","Pontevedra",986,"ES"
"SA","37","Salamanca",923,"ES"
"TF","38","Sta. Cruz de Tenerife",922,"ES"
"S","39","Cantabria",942,"ES"
"SG","40","Segovia",921,"ES"
"SE","41","Sevilla",95,"ES"
"SO","42","Soria",975,"ES"
"T","43","Tarragona",977,"ES"
"TE","44","Teruel",978,"ES"
"TO","45","Toledo",925,"ES"
"V","46","Valéncia",96,"ES"
"VA","47","Valladolid",983,"ES"
"BI","48","Bizkaia",94,"ES"
"ZA","49","Zamora",980,"ES"
"Z","50","Zaragoza",976,"ES"
"CE","51","Ceuta",956,"ES"
"ML","52","Melilla",95,"ES"
