"Manufacturer"|"Model"|"EngineCapacity"|"FuelType"|"MetricUrbanCold"|"MetricExtraUrban"|"MetricCombined"|"ImperialUrbanCold"|"ImperialExtraUrban"|"ImperialCombined"|"CO2gkm"|"FuelCost12000Miles"|"EuroStandard"|"NoiseLeveldBA"|"EmissionsCOmgkm"|"THCEmissionsmgkm"|"EmissionsNOxmgkm"|"THC+NOxEmissionsmgkm"|"ParticulatesNo_mgkm"|"Tipo"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|72.5|455|23|9|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.6|4.7|5.8|37.2|60.1|48.7|134|1131|6|73|445|25|22|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|74|222|35|19|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.6|4.7|5.8|37.2|60.1|48.7|134|1131|6|73.5|439|34|37|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|71.5|498|36|27|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.6|4.7|5.8|37.2|60.1|48.7|134|1131|6|74|423|35|28|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|8.2|5.1|6.2|34.4|55.4|45.6|145|1208|6|72.5|559|37|28|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|8.2|5.1|6.2|34.4|55.4|45.6|145|1208|6|72.5|486|20|19|NA|NA|"Gasolina"
"ABARTH"|"New Abarth 595, 2016 Onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|73.5|350|18|5|NA|NA|"Gasolina"
"ABARTH"|"New Abarth 595, 2016 Onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|73.5|517|27|7|NA|NA|"Gasolina"
"ABARTH"|"New Abarth 595, 2016 Onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|71.5|498|36|27|NA|NA|"Gasolina"
"ALFA ROMEO"|"Alfa 4C Spider, September 2015 on"|1742|"Petrol"|10.1|5.1|6.9|28|55.4|40.9|161|1347|6|71.4|404|44|38|NA|NA|"Gasolina"
"ALFA ROMEO"|"Alfa 4C, April 2014 on"|1742|"Petrol"|9.8|5|6.8|28.8|56.5|41.5|157|1328|6|71.4|404|44|38|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1368|"Petrol"|8.1|5.1|6.2|34.9|55.4|45.6|144|1208|6|73|279|38|20|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1368|"Petrol"|7.4|4.4|5.5|38.2|64.2|51.4|127|1072|6|72.5|466|44|35|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1368|"Petrol"|6.3|4.1|4.9|44.8|68.9|57.6|114|957|6|70.5|318|50|39|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1598|"Diesel"|4.7|3.2|3.8|60.1|88.3|74.3|99|749|6|72|251|NA|21|79|0.5|"Diesel"
"ALFA ROMEO"|"Giulietta"|1598|"Diesel"|4.7|3.2|3.8|60.1|88.3|74.3|99|749|6|74|117|NA|62|89|0.3|"Diesel"
